Nombre del repuesto,descripción ,marca,tamaño,categoria,cantidad,precio estimado,codigo,ubicación 
aceite hidráulico Sae20,,viking lubricantes ,,,5,15000,,
balinera 6002,,Elpra premium ,,,1,14000,,
balinera 6002,,kobushi,,,5,12000,,
balinera 6004,,mototec,,,7,16000,,
balinera 6004,,kontrol,,,4,,,
balinera 6200,,taichang,,,9,,,
balinera 6200,,koyo,,,4,14000,,
balinera 6201,,everestt,,,6,14000,,
balinera 6201,,yahsuka,,,1,12000,,
balinera 6201,,bearing kto partes,,,1,,,
balinera 6201,,mototec,,,1,,,
balinera 6202,,kontrol,,,13,14000,,
balinera 6203,,kontrol,,,12,16000,,
balinera 6203,sello caucho,narita,,,10,,,
balinera 6204,,koyo,,,28,,,
balinera 6205,,yahsuka ,,,2,,,
balinera 6205,,china Smart parts,,,3,,,
balinera 6205,,koyo,,,46,,,
balinera 6300,,motoparts,,,3,14000,,
balinera 6300,,nxt,,,6,12000,,
balinera 6300,,everest,,,12,14000,,
balinera 6300,,koyo,,,46,,,
balinera 6302,,mototec,,,1,15000,,
balinera 6302,sello caucho,narita,,,10,,,
balinera 6303,,thunder,,,5,15000,,
balinera 6303,,moto Au,,,16,15000,,
balinera 6303,,koyo,,,49,18000,,
balinera 6304,,koyo,,motor,7,18000,,
balinera especial,clutch boxer,bajaj,,,1,,,
cable clutch,universal trenzado,narita,,,100,,,
capucho bujia,universal,japan,,,4,,,
capuchón bujia,deluxe ng,narita,,,10,,,
capuchón bujia,largo 90 grados,tep,,,10,,,
disco freno delantero ,xtz 125,mototec,,,2,90000,,
disco freno delantero ,gs125,mototec,,,2,95000,,
disco freno delantero ,gs150,mototec,,,1,98000,,
disco freno delantero ,szr,mototec,,,1,95000,,
disco freno delantero ,crypton 110-115,mototec,,,1,85000,,
disco freno delantero ,gn125,mototec,,,2,90000,,
disco freno trasero,apache rtr200,mototec,,,1,95000,,
farola completa ,eco deluxe,mototec,,,1,65000,,
farola completa ,eco 100,mototec,,,1,60000,,
filtro gasolina,felpa colorea,cables y filtros sas,,,40,,,
